group,var_name,var_val
"Abogadas
",guarderia,23.5%
"Abogadas
",tiempo_cuid,24.9%
"Abogadas
",trab_dom,16.7%
"Abogadas
",cuidados_thrs,15.5
"Abogados hombres
",guarderia,9.5%
"Abogados hombres
",tiempo_cuid,10.2%
"Abogados hombres
",trab_dom,17.5%
"Abogados hombres
",cuidados_thrs,5.5
Mujeres no abogadas con estudios universitarios,guarderia,26.4%
Mujeres no abogadas con estudios universitarios,tiempo_cuid,26.8%
Mujeres no abogadas con estudios universitarios,trab_dom,11.2%
Mujeres no abogadas con estudios universitarios,cuidados_thrs,18.5
