cve_ent,perc,sexo,def_type
1,0.6,hombre,ocup
2,0.8,hombre,ocup
3,0.7,hombre,ocup
4,0.6,hombre,ocup
5,0.6,hombre,ocup
6,0.9,hombre,ocup
7,0.5,hombre,ocup
8,0.5,hombre,ocup
9,1.5,hombre,ocup
10,0.6,hombre,ocup
11,0.5,hombre,ocup
12,0.5,hombre,ocup
13,0.5,hombre,ocup
14,0.9,hombre,ocup
15,0.8,hombre,ocup
16,0.6,hombre,ocup
17,0.6,hombre,ocup
18,0.6,hombre,ocup
19,0.6,hombre,ocup
20,0.4,hombre,ocup
21,0.6,hombre,ocup
22,0.7,hombre,ocup
23,0.7,hombre,ocup
24,0.6,hombre,ocup
25,0.5,hombre,ocup
26,0.5,hombre,ocup
27,0.6,hombre,ocup
28,0.4,hombre,ocup
29,0.6,hombre,ocup
30,0.5,hombre,ocup
31,0.6,hombre,ocup
32,0.4,hombre,ocup
1,0.3,mujer,ocup
2,0.5,mujer,ocup
3,0.6,mujer,ocup
4,0.3,mujer,ocup
5,0.4,mujer,ocup
6,0.4,mujer,ocup
7,0.2,mujer,ocup
8,0.3,mujer,ocup
9,0.9,mujer,ocup
10,0.2,mujer,ocup
11,0.2,mujer,ocup
12,0.2,mujer,ocup
13,0.3,mujer,ocup
14,0.4,mujer,ocup
15,0.4,mujer,ocup
16,0.2,mujer,ocup
17,0.4,mujer,ocup
18,0.4,mujer,ocup
19,0.3,mujer,ocup
20,0.2,mujer,ocup
21,0.4,mujer,ocup
22,0.5,mujer,ocup
23,0.5,mujer,ocup
24,0.3,mujer,ocup
25,0.4,mujer,ocup
26,0.3,mujer,ocup
27,0.3,mujer,ocup
28,0.2,mujer,ocup
29,0.2,mujer,ocup
30,0.2,mujer,ocup
31,0.4,mujer,ocup
32,0.4,mujer,ocup
1,1.7,hombre,educ
2,2.3,hombre,educ
3,2.3,hombre,educ
4,1.5,hombre,educ
5,1.4,hombre,educ
6,2.3,hombre,educ
7,1.5,hombre,educ
8,1.5,hombre,educ
9,3.9,hombre,educ
10,1.9,hombre,educ
11,1.5,hombre,educ
12,2,hombre,educ
13,1.7,hombre,educ
14,2.7,hombre,educ
15,2.5,hombre,educ
16,1.8,hombre,educ
17,1.9,hombre,educ
18,2.1,hombre,educ
19,1.9,hombre,educ
20,1.7,hombre,educ
21,2,hombre,educ
22,1.9,hombre,educ
23,2,hombre,educ
24,1.7,hombre,educ
25,3.1,hombre,educ
26,2.1,hombre,educ
27,1.7,hombre,educ
28,1.8,hombre,educ
29,2,hombre,educ
30,1.8,hombre,educ
31,1.8,hombre,educ
32,1.6,hombre,educ
1,1.1,mujer,educ
2,2,mujer,educ
3,2.1,mujer,educ
4,1.8,mujer,educ
5,1.4,mujer,educ
6,1.7,mujer,educ
7,1.1,mujer,educ
8,1.3,mujer,educ
9,2.6,mujer,educ
10,1.5,mujer,educ
11,1.1,mujer,educ
12,1.4,mujer,educ
13,1.7,mujer,educ
14,1.6,mujer,educ
15,1.8,mujer,educ
16,1.5,mujer,educ
17,1.7,mujer,educ
18,2,mujer,educ
19,1.4,mujer,educ
20,1.2,mujer,educ
21,1.2,mujer,educ
22,1.7,mujer,educ
23,1.8,mujer,educ
24,1.3,mujer,educ
25,2,mujer,educ
26,1.4,mujer,educ
27,1.4,mujer,educ
28,1.2,mujer,educ
29,1.4,mujer,educ
30,1.3,mujer,educ
31,1.5,mujer,educ
32,1.9,mujer,educ
1,0.5,general,ocup
2,0.6,general,ocup
3,0.7,general,ocup
4,0.4,general,ocup
5,0.5,general,ocup
6,0.7,general,ocup
7,0.3,general,ocup
8,0.4,general,ocup
9,1.2,general,ocup
10,0.4,general,ocup
11,0.3,general,ocup
12,0.3,general,ocup
13,0.4,general,ocup
14,0.7,general,ocup
15,0.6,general,ocup
16,0.4,general,ocup
17,0.5,general,ocup
18,0.5,general,ocup
19,0.5,general,ocup
20,0.3,general,ocup
21,0.5,general,ocup
22,0.6,general,ocup
23,0.6,general,ocup
24,0.4,general,ocup
25,0.4,general,ocup
26,0.4,general,ocup
27,0.5,general,ocup
28,0.3,general,ocup
29,0.4,general,ocup
30,0.3,general,ocup
31,0.5,general,ocup
32,0.4,general,ocup
1,1.4,general,educ
2,2.1,general,educ
3,2.2,general,educ
4,1.7,general,educ
5,1.4,general,educ
6,2,general,educ
7,1.3,general,educ
8,1.4,general,educ
9,3.2,general,educ
10,1.7,general,educ
11,1.3,general,educ
12,1.7,general,educ
13,1.7,general,educ
14,2.1,general,educ
15,2.1,general,educ
16,1.6,general,educ
17,1.8,general,educ
18,2.1,general,educ
19,1.6,general,educ
20,1.4,general,educ
21,1.6,general,educ
22,1.8,general,educ
23,1.9,general,educ
24,1.5,general,educ
25,2.5,general,educ
26,1.7,general,educ
27,1.5,general,educ
28,1.5,general,educ
29,1.7,general,educ
30,1.5,general,educ
31,1.6,general,educ
32,1.7,general,educ
