cve_ent,perc_muj,def_type
1,38.8,ocup
2,37.2,ocup
3,45.9,ocup
4,39.3,ocup
5,44.7,ocup
6,35.8,ocup
7,29.8,ocup
8,43.1,ocup
9,41.4,ocup
10,32.7,ocup
11,32.3,ocup
12,35.8,ocup
13,42.9,ocup
14,34,ocup
15,38,ocup
16,31.2,ocup
17,42.2,ocup
18,40.2,ocup
19,39,ocup
20,37,ocup
21,42.6,ocup
22,45.4,ocup
23,44,ocup
24,38.5,ocup
25,42.7,ocup
26,38.1,ocup
27,36.8,ocup
28,37.2,ocup
29,31.6,ocup
30,28.8,ocup
31,43.7,ocup
32,51.2,ocup
1,43.4,educ
2,47,educ
3,47.6,educ
4,55.6,educ
5,50.8,educ
6,45.3,educ
7,46,educ
8,49.6,educ
9,44.2,educ
10,47.4,educ
11,45.5,educ
12,44.7,educ
13,54.7,educ
14,39.4,educ
15,45.3,educ
16,48,educ
17,50.3,educ
18,50.9,educ
19,42.7,educ
20,47.1,educ
21,42.1,educ
22,50.2,educ
23,48.5,educ
24,46.5,educ
25,40.6,educ
26,42.1,educ
27,48,educ
28,42.9,educ
29,45.2,educ
30,47.3,educ
31,48.9,educ
32,57.7,educ
